data {
 x, y
932, 12.36
933, 12.351
934, 12.342
935, 12.333
936, 12.324
937, 12.315
938, 12.306
939, 12.297
940, 12.288
941, 12.276
942, 12.264
943, 12.252
944, 12.239
945, 12.227
946, 12.215
947, 12.203
948, 12.19
949, 12.178
950, 12.166
951, 12.151
952, 12.135
953, 12.12
954, 12.104
955, 12.089
956, 12.074
957, 12.058
958, 12.043
959, 12.028
960, 12.012
961, 11.994
962, 11.976
963, 11.957
964, 11.939
965, 11.921
966, 11.902
967, 11.884
968, 11.866
969, 11.848
970, 11.829
971, 11.809
972, 11.788
973, 11.767
974, 11.746
975, 11.725
976, 11.705
977, 11.684
978, 11.663
979, 11.642
980, 11.622
981, 11.599
982, 11.576
983, 11.554
984, 11.531
985, 11.509
986, 11.486
987, 11.464
988, 11.441
989, 11.418
990, 11.396
991, 11.385
992, 11.375
993, 11.364
994, 11.354
995, 11.343
996, 11.332
997, 11.322
998, 11.311
999, 11.301
1000, 11.29

 };
