"U_X","U_Y","EpsiXX","EpsiYY","EpsiXY","SigmaXX","SigmaYY","SigmaXY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0085021,-6.3252e-10,7.5357e-05,-1.4878e-05,-9.2631e-11,12.273,1.3368,-3.0092e-06,1,124,124,0,0
0.0085775,-3.862e-10,7.5416e-05,-1.4976e-05,-6.0041e-11,12.278,1.323,-1.9555e-06,1,125,125,0,0
0.0086529,-1.3988e-10,7.5474e-05,-1.5073e-05,-2.7452e-11,12.283,1.3091,-9.0183e-07,1,126,126,0,0
0.0087284,1.0644e-10,7.5532e-05,-1.517e-05,5.1371e-12,12.288,1.2952,1.5184e-07,1,127,127,0,0
0.0088038,3.5276e-10,7.5591e-05,-1.5268e-05,3.7726e-11,12.293,1.2814,1.2055e-06,1,128,128,0,0
0.0088792,5.9908e-10,7.5649e-05,-1.5365e-05,7.0316e-11,12.298,1.2675,2.2592e-06,1,129,129,0,0
0.0089547,8.454e-10,7.5707e-05,-1.5462e-05,1.0291e-10,12.303,1.2536,3.3128e-06,1,130,130,0,0
0.0090306,8.9002e-10,7.576e-05,-1.5554e-05,1.122e-10,12.307,1.2406,3.6141e-06,1,131,131,0,0
0.0091066,9.3465e-10,7.5812e-05,-1.5645e-05,1.215e-10,12.311,1.2275,3.9154e-06,1,132,132,0,0
0.0091826,9.7927e-10,7.5864e-05,-1.5736e-05,1.308e-10,12.315,1.2144,4.2166e-06,1,133,133,0,0
0.0092586,1.0239e-09,7.5917e-05,-1.5827e-05,1.4009e-10,12.32,1.2014,4.5179e-06,1,134,134,0,0
0.0093346,1.0685e-09,7.5969e-05,-1.5918e-05,1.4939e-10,12.324,1.1883,4.8191e-06,1,135,135,0,0
0.0094106,1.1131e-09,7.6022e-05,-1.6009e-05,1.5869e-10,12.328,1.1753,5.1204e-06,1,136,136,0,0
0.0094865,1.1578e-09,7.6074e-05,-1.61e-05,1.6798e-10,12.333,1.1622,5.4217e-06,1,137,137,0,0
0.0095625,1.2024e-09,7.6126e-05,-1.6191e-05,1.7728e-10,12.337,1.1491,5.7229e-06,1,138,138,0,0
0.0096385,1.247e-09,7.6179e-05,-1.6282e-05,1.8658e-10,12.341,1.1361,6.0242e-06,1,139,139,0,0
0.0097145,1.2916e-09,7.6231e-05,-1.6373e-05,1.9587e-10,12.345,1.123,6.3254e-06,1,140,140,0,0
